date,total_index,KORCPICORMINMEI,KORCP010000IXOBM,KORCP040000IXOBM,KORCPGRLH02IXOBM,KORCP070000IXOBM,KORCPGRSE01IXOBM,KORCP030000IXOBM,KORCP020000IXOBM,KORCP040100IXOBM,KORCP100000IXOBM,sentiment_index
2010-01-01,89.974884,90.17956,82.96021,85.73214,92.46687,99.07007,90.666,84.71439,64.17831,84.81021,91.60896,0.5
2010-01-02,89.980736,90.185425,82.99095,85.7377,92.47287,99.06681,90.67191,84.711655,64.17831,84.81573,91.61197,0.3220792091959313
2010-01-03,89.98658,90.1913,83.0217,85.74326,92.47887,99.06355,90.677826,84.70891,64.17831,84.82124,91.61498,0.2517565098343245
2010-01-04,89.99243,90.19717,83.05244,85.74883,92.48486,99.060295,90.68374,84.70617,64.17831,84.82676,91.61799,0.3335542244810066
2010-01-05,89.99828,90.20303,83.083176,85.754395,92.49086,99.05704,90.68965,84.70343,64.17831,84.832275,91.621,0.2786080854671582
2010-01-06,90.00413,90.20891,83.113914,85.75996,92.49686,99.05378,90.695564,84.70068,64.17831,84.83779,91.62401,0.2113400712226318
2010-01-07,90.00998,90.214775,83.14466,85.76552,92.502846,99.05052,90.70148,84.697945,64.17831,84.84331,91.62702,0.2638553993938348
2010-01-08,90.01583,90.22064,83.1754,85.77109,92.50884,99.047264,90.70739,84.695206,64.17831,84.84882,91.63003,0.2110603683379342
2010-01-09,90.021675,90.22652,83.20614,85.77665,92.51484,99.044,90.713295,84.69246,64.17831,84.85434,91.63304,0.2052482277983437
2010-01-10,90.02753,90.23238,83.23688,85.78221,92.520836,99.04074,90.71921,84.68972,64.17831,84.859856,91.63605,0.2097833751906339
2010-01-11,90.03337,90.23826,83.267624,85.78777,92.52683,99.03748,90.72512,84.68698,64.17831,84.86537,91.63906,-0.0157805345838021
2010-01-12,90.03922,90.244125,83.29836,85.793335,92.53283,99.034225,90.73103,84.684235,64.17831,84.87089,91.64207,-0.0371709089153529
2010-01-13,90.045074,90.24999,83.3291,85.798904,92.538826,99.03097,90.736946,84.681496,64.17831,84.8764,91.64508,-0.0050280517724957
2010-01-14,90.05092,90.25587,83.35984,85.80447,92.54482,99.02771,90.74286,84.67876,64.17831,84.88192,91.64809,-0.0121045665889486
2010-01-15,90.05677,90.261734,83.39059,85.81003,92.55082,99.02445,90.74877,84.67601,64.17831,84.887436,91.6511,0.0022289260054135
2010-01-16,90.06262,90.2676,83.421326,85.81559,92.556816,99.021194,90.754684,84.67327,64.17831,84.89295,91.654106,-0.0028646408838165
2010-01-17,90.06847,90.273476,83.452065,85.82116,92.562805,99.01794,90.7606,84.67053,64.17831,84.89847,91.65712,-0.0179594450465466
2010-01-18,90.07432,90.27934,83.4828,85.82672,92.5688,99.01468,90.76651,84.66779,64.17831,84.903984,91.660126,0.1798427527556511
2010-01-19,90.08017,90.28521,83.51355,85.83228,92.5748,99.01142,90.77242,84.66505,64.17831,84.9095,91.66314,0.1642583371712355
2010-01-20,90.08601,90.291084,83.54429,85.837845,92.580795,99.00816,90.778336,84.66231,64.17831,84.915016,91.666145,0.1601767045181743
2010-01-21,90.091866,90.29695,83.57503,85.843414,92.58679,99.004906,90.78425,84.65957,64.17831,84.92053,91.66916,0.1260211067952142
2010-01-22,90.09772,90.30282,83.60577,85.848976,92.59279,99.00165,90.79016,84.65682,64.17831,84.92605,91.672165,0.0454350262091336
2010-01-23,90.10356,90.30869,83.63651,85.85454,92.598785,98.99839,90.796074,84.65408,64.17831,84.931564,91.67518,0.0374036133817548
2010-01-24,90.10941,90.31456,83.66725,85.8601,92.60478,98.99513,90.80199,84.651344,64.17831,84.93708,91.678185,0.0308093478550969
2010-01-25,90.11526,90.320435,83.69799,85.86566,92.61078,98.99187,90.80789,84.6486,64.17831,84.9426,91.6812,0.0779051092365726
2010-01-26,90.12111,90.3263,83.72873,85.87123,92.616776,98.98861,90.813805,84.64586,64.17831,84.94811,91.684204,0.1350479663794298
2010-01-27,90.12696,90.33217,83.759476,85.87679,92.622765,98.98535,90.81972,84.64312,64.17831,84.95363,91.68722,0.1962724561753482
2010-01-28,90.132805,90.33804,83.790215,85.882355,92.62876,98.98209,90.82563,84.64037,64.17831,84.959145,91.69022,0.1905120875117537
2010-01-29,90.13866,90.34391,83.82095,85.88792,92.63476,98.978836,90.83154,84.637634,64.17831,84.96466,91.69324,0.2585392983961074
2010-01-30,90.14451,90.34978,83.85169,85.893486,92.640755,98.97558,90.837456,84.634895,64.17831,84.97018,91.69624,0.2533821801701704
2010-01-31,90.15035,90.35565,83.88244,85.89905,92.64675,98.97232,90.84337,84.63215,64.17831,84.97569,91.69926,0.2496622092449543
2010-02-01,90.156204,90.36152,83.91318,85.90461,92.65275,98.96906,90.84928,84.62941,64.17831,84.98121,91.70226,0.1952404405374713
2010-02-02,90.16272,90.36152,83.93476,85.90771,92.65607,98.99774,90.85257,84.62941,64.17373,84.98426,91.73873,0.2142880595850904
2010-02-03,90.16923,90.36152,83.95634,85.910805,92.659386,99.02643,90.855865,84.62941,64.16914,84.98732,91.7752,0.0869588670385065
2010-02-04,90.17574,90.36152,83.97792,85.9139,92.662704,99.05511,90.85916,84.62941,64.164566,84.99037,91.81167,0.0671175971972366
2010-02-05,90.18226,90.36152,83.999504,85.917,92.66602,99.083786,90.86245,84.62941,64.15998,84.99342,91.84814,0.0409951482176448
2010-02-06,90.188774,90.36152,84.02108,85.920105,92.66934,99.11247,90.86574,84.62941,64.1554,84.996475,91.884605,0.0387123245931495
2010-02-07,90.19528,90.36152,84.04266,85.9232,92.67266,99.14115,90.86903,84.62941,64.15082,84.99953,91.921074,-0.0175112878534707
2010-02-08,90.2018,90.36152,84.06424,85.9263,92.67598,99.16983,90.87233,84.62941,64.14624,85.00259,91.95754,0.0301077597655768
2010-02-09,90.20831,90.36152,84.08582,85.9294,92.679306,99.19852,90.87562,84.62941,64.141655,85.00564,91.99401,0.0028968754118353
2010-02-10,90.21482,90.36152,84.10741,85.932495,92.682625,99.227196,90.87891,84.62941,64.13708,85.00869,92.03048,0.1016546393869906
2010-02-11,90.22134,90.36152,84.12898,85.93559,92.68594,99.255875,90.8822,84.62941,64.13249,85.01175,92.06695,0.0947101949425461
2010-02-12,90.22785,90.36152,84.150566,85.93869,92.68926,99.28456,90.8855,84.62941,64.127914,85.0148,92.10342,0.084551464783816
2010-02-13,90.23437,90.36152,84.17215,85.94179,92.69258,99.31324,90.88879,84.62941,64.12333,85.01785,92.139885,0.084487913447109
2010-02-14,90.240875,90.36152,84.193726,85.944885,92.6959,99.34192,90.892075,84.62941,64.11875,85.020905,92.17635,0.1405208718836084
2010-02-15,90.24739,90.36152,84.21531,85.94798,92.69922,99.370605,90.89537,84.62941,64.11417,85.02396,92.21282,0.1065072664414315
2010-02-16,90.25391,90.36152,84.23689,85.95109,92.70254,99.399284,90.89867,84.62941,64.10959,85.027016,92.24929,0.133718150795173
2010-02-17,90.260414,90.36152,84.25847,85.954185,92.70586,99.42796,90.901955,84.62941,64.10501,85.03007,92.28576,0.1384800555570778
2010-02-18,90.26693,90.36152,84.28005,85.95728,92.709175,99.45664,90.90524,84.62941,64.100426,85.03312,92.32223,0.1211481227839685
2010-02-19,90.273445,90.36152,84.301636,85.96038,92.712494,99.48533,90.90854,84.62941,64.09585,85.03618,92.358696,0.1759821776180234
2010-02-20,90.27996,90.36152,84.32321,85.96348,92.71581,99.51401,90.911835,84.62941,64.09126,85.03923,92.395164,0.1780107958956907
2010-02-21,90.28647,90.36152,84.344795,85.966576,92.71913,99.54269,90.91512,84.62941,64.086685,85.04228,92.43163,0.1814765614740789
2010-02-22,90.292984,90.36152,84.36638,85.96967,92.72246,99.57137,90.91841,84.62941,64.0821,85.045334,92.4681,0.1202520716781606
2010-02-23,90.2995,90.36152,84.387955,85.97277,92.72578,99.60005,90.92171,84.62941,64.07752,85.048386,92.50457,-0.0702241187980298
2010-02-24,90.30601,90.36152,84.40954,85.97587,92.729095,99.62873,90.925,84.62941,64.07294,85.051445,92.54104,-0.046414594988506
2010-02-25,90.31252,90.36152,84.431114,85.97897,92.732414,99.65742,90.92829,84.62941,64.06836,85.0545,92.57751,-0.0380112336439682
2010-02-26,90.31904,90.36152,84.4527,85.98207,92.73573,99.6861,90.93158,84.62941,64.063774,85.05755,92.613976,-0.0055437011764357
2010-02-27,90.325554,90.36152,84.47428,85.98517,92.73905,99.714775,90.934875,84.62941,64.0592,85.06061,92.650444,-0.0006407882973266
2010-02-28,90.33206,90.36152,84.49586,85.988266,92.74237,99.74346,90.93817,84.62941,64.05461,85.06366,92.68691,0.0056992718825032
2010-03-01,90.33858,90.36152,84.51744,85.99136,92.74569,99.77214,90.94146,84.62941,64.05003,85.06671,92.72338,0.014561456846758
2010-03-02,90.35031,90.364456,84.55932,85.99136,92.75172,99.79804,90.947334,84.62941,64.0521,85.07223,92.72933,0.1799749906813445
2010-03-03,90.36204,90.367386,84.6012,85.99136,92.75775,99.82395,90.95322,84.62941,64.05417,85.07774,92.73529,0.1656892763956303
2010-03-04,90.37377,90.37032,84.64308,85.99136,92.76378,99.84985,90.95909,84.62941,64.05624,85.08326,92.74124,0.1299749906813445
2010-03-05,90.385506,90.37326,84.68496,85.99136,92.76981,99.87576,90.964966,84.62941,64.05831,85.088776,92.74719,0.1299749906813445
2010-03-06,90.39724,90.37619,84.72684,85.99136,92.77584,99.901665,90.97085,84.62941,64.06038,85.09429,92.75314,0.1427186623777114
2010-03-07,90.408966,90.37913,84.768715,85.99136,92.781876,99.927574,90.97672,84.62941,64.06245,85.09981,92.7591,0.1576180550251596
2010-03-08,90.4207,90.382065,84.81059,85.99136,92.7879,99.953476,90.9826,84.62941,64.064514,85.10532,92.76505,0.2281209494259841
2010-03-09,90.432434,90.384995,84.85248,85.99136,92.79394,99.979385,90.98848,84.62941,64.06658,85.11084,92.771,0.2259727217138467
2010-03-10,90.44416,90.38793,84.894356,85.99136,92.799965,100.00529,90.994354,84.62941,64.06865,85.116356,92.776955,0.194039948604603
