date,total_index,KORCPICORMINMEI,KORCP010000IXOBM,KORCP040000IXOBM,KORCPGRLH02IXOBM,KORCP070000IXOBM,KORCPGRSE01IXOBM,KORCP030000IXOBM,KORCP020000IXOBM,KORCP040100IXOBM,KORCP100000IXOBM,sentiment_index
2010-01-01,89.9748842823397,90.17956,82.96021,85.73214,92.46687,99.07007,90.666,84.71439000000001,64.17831,84.81021,91.60896,0.13101090129715948
2010-02-01,90.1562023699609,90.36152,83.91318000000001,85.90460999999999,92.65275,98.96906,90.84928,84.62941,64.17831,84.98121,91.70226,0.07754635434667993
2010-03-01,90.3385746325102,90.36152,84.51744000000001,85.99136,92.74569,99.77214,90.94146,84.62941,64.05003,85.06671,92.72338,0.23661508416755422
2010-04-01,90.7022649826808,90.4525,85.8157,85.99136,92.93264,100.5752,91.12366,84.62941,64.11417,85.23770999999999,92.90792,0.287313206906363
2010-05-01,90.7939782014194,90.63446,85.38295,86.16487,93.11852,100.7762,91.30588,84.79937,64.05003,85.40871,93.00122,0.08827163236408803
2010-06-01,90.7022649826808,90.72439,84.25846999999999,86.16487,93.11852,100.4752,91.30588,85.3103,64.11417,85.58075,93.00122,0.3271508925856752
2010-07-01,90.8846372452301,90.90741,84.69122,86.25059,93.39841,100.9773,91.58026,85.39527,63.9859,85.75175,93.00122,0.13284949353460287
2010-08-01,91.3410949890674,91.08937,86.85385,86.50981,93.5843,100.7762,91.67243,85.39527,64.11417,85.83725,93.09349,0.134444408637957
2010-09-01,92.0684756894084,91.17929,91.26543,87.11501,93.5843,99.97317,91.76354,85.48026,64.17831,86.00825,93.09349,0.12695602753875537
2010-10-01,92.0684756894084,91.17929,91.43922,87.20177,93.5843,100.1742,91.76354,85.39527,64.17831,86.17924000000001,93.18678,0.05239450741574351
2010-11-01,91.6141262954273,91.17929,88.49741,86.94151,93.67724,100.4752,91.94682,84.88435,64.17831,86.43678,93.27905,0.11680975480387469
2010-12-01,91.9778166455978,91.45224,88.49741,87.28748,93.77125,102.2824,92.03685,86.41818,64.11417,86.69328,93.27905,0.21989719444352546
2011-01-01,93.0709960459656,91.90609,91.43922,88.15191999999999,94.23702,104.4906,92.49451,86.50316,64.11417,86.95083000000001,93.74348,0.08422457145264953
2011-02-01,93.707717702496,92.26896,93.25542,88.67036,94.70387,105.0927,92.95111,86.58814,64.05003,87.20732,93.92905,0.03514592479005175
2011-03-01,94.0724622275946,92.5419,92.99531,89.01634,95.0767,107.0999,93.31767,86.67312,64.05003,87.72136,94.20791,0.06825468447501691
